ASIN,TITLE,AUTHOR,STARS,REVIEWS,PRICE,ISKINDLEUNLIMITED,CATEGORY_NAME
B079ZYWJJ8,Becoming,Michelle Obama,4.8,195850,12.99,false,Biographies & Memoirs
B08GJZFBYV,A Promised Land,Barack Obama,4.9,126810,17.99,false,Biographies & Memoirs
B015FELXQ0,A Court of Mist and Fury (A Court of Thorns and Roses Book 2),Sarah J. Maas,4.8,124378,4.99,false,Literature & Fiction
B07R2L2SNN,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.8,119968,11.99,true,Politics & Social Sciences
B01LOWN78Y,A Court of Wings and Ruin (A Court of Thorns and Roses Book 3),Sarah J. Maas,4.8,114715,8.21,false,Literature & Fiction
B08CHNCDN5,A Court of Silver Flames (A Court of Thorns and Roses Book 5),Sarah J. Maas,4.8,104612,8.21,false,Science Fiction & Fantasy
B01B3DKROQ,Harry Potter: The Complete Collection (1-7),J.K. Rowling,4.9,103523,0,false,Literature & Fiction
B00OICLVBI,The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,90467,8.45,false,Religion & Spirituality
B0192CTMWS,Harry Potter and the Deathly Hallows,J.K. Rowling,4.9,88547,9.99,true,Literature & Fiction
B0192CTMW8,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.8,88459,9.99,true,Literature & Fiction
B0BGDM197Q,Fourth Wing (The Empyrean Book 1),Rebecca Yarros,4.8,84988,14.99,false,Science Fiction & Fantasy
B0192CTMX2,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.9,83802,9.99,true,Literature & Fiction
B0192CTMXM,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.8,78103,9.99,true,Literature & Fiction
B0192CTMUU,Harry Potter and the Goblet of Fire,J.K. Rowling,4.9,77216,9.99,true,Literature & Fiction
B0192CTMWI,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.9,73425,9.99,true,Literature & Fiction
B00DA6YEKS,"Words of Radiance (The Stormlight Archive, Book 2)",Brandon Sanderson,4.8,70658,9.99,false,Teen & Young Adult
B00IICN1F8,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,4.8,69921,0,false,Religion & Spirituality
B003P2WO5E,"The Way of Kings (The Stormlight Archive, Book 1)",Brandon Sanderson,4.8,65892,7.99,false,Teen & Young Adult
B01NAWAH85,Oathbringer: Book Three of the Stormlight Archive,Brandon Sanderson,4.8,58830,9.99,false,Teen & Young Adult
B00TU3BTUI,Queen of Shadows (Throne of Glass Book 4),Sarah J. Maas,4.8,57927,8.21,false,Teen & Young Adult
B078Z42ZFQ,É assim que acaba (Portuguese Edition),Colleen Hoover,4.8,57913,0,false,Foreign Language
B01ANM7GJC,Empire of Storms (Throne Of Glass Series Book 5),Sarah J. Maas,4.8,53430,8.21,false,Teen & Young Adult
B079JYG6D4,Kingdom of Ash (Throne of Glass Book 7),Sarah J. Maas,4.8,51434,8.9,false,Teen & Young Adult
B093WB84G1,House of Sky and Breath (Crescent City),Sarah J. Maas,4.8,50025,9.99,false,Science Fiction & Fantasy
B004XJRQUQ,The Hunger Games Trilogy,Suzanne Collins,4.8,47338,25.99,false,Teen & Young Adult
B0192CTMYG,Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.8,47238,9.99,true,Literature & Fiction
B084FLWDQG,Caste: The Origins of Our Discontents,Isabel Wilkerson,4.8,43800,13.99,false,Politics & Social Sciences
B003IYI7I2,"Jesus Calling, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional) (Jesus Calling®)",Sarah Young,4.9,43335,11.99,false,Religion & Spirituality
B075NF35FN,Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,4.8,39713,6.99,true,Religion & Spirituality
B00JYWVYLY,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,4.8,38591,13.99,false,Biographies & Memoirs
B0929HXWQY,American Marxism,Mark R. Levin,4.8,36717,14.99,false,Politics & Social Sciences
B01M62624T,The Outsiders 50th Anniversary Edition,S. E. Hinton,4.8,36696,7.99,false,Teen & Young Adult
B0739PYQSS,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,4.8,35451,14.99,false,Biographies & Memoirs
B0BDSB3YLP,É assim que começa (Vol. 2 É assim que acaba) (Portuguese Edition),Colleen Hoover,4.8,35222,7.99,false,Teen & Young Adult
B07XTNKQKF,Os sete maridos de Evelyn Hugo (Portuguese Edition),Taylor Jenkins Reid,4.8,34922,5.38,false,Foreign Language
B07Y8QL432,Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty,4.8,33608,13.99,false,Religion & Spirituality
B002TXZRNQ,Tuesdays With Morrie: The most uplifting book ever written about the importance of human connection,Mitch Albom,4.8,32845,0,false,Politics & Social Sciences
B000SEGMAU,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson, 25th Anniversary Edition",Mitch Albom,4.8,32840,13.99,false,Biographies & Memoirs
B091Q9VCP4,The Storyteller: Tales of Life and Music,Dave Grohl,4.8,31984,19.49,false,Biographies & Memoirs
B0826NKZHR,Rhythm of War: Book Four of The Stormlight Archive,Brandon Sanderson,4.8,31634,9.99,false,Science Fiction & Fantasy
B00A3D1FVC,Os segredos da mente milionária: Aprenda a enriquecer mudando seus conceitos sobre o dinheiro e adotando os hábitos das pessoas bem-sucedidas (Portuguese Edition),T. Harv Eker,4.8,30697,5.77,false,Foreign Language
B000WJSD2Q,Redeeming Love: A Novel,Francine Rivers,4.8,30290,9.99,false,Literature & Fiction
B09P9TRNCB,Verity (Portuguese Edition),Colleen Hoover,4.8,30199,12.99,false,Foreign Language
B01HNJIJB2,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,4.8,29918,16.99,false,Politics & Social Sciences
B01F1HOB56,The Choice: A true story of hope,Edith Eger,4.8,28493,0,false,Politics & Social Sciences
B01HMXRZ6O,The Choice: Embrace the Possible,Edith Eger,4.8,28491,13.99,false,Biographies & Memoirs
B07VFB2JVS,Torto arado (Portuguese Edition),Itamar Vieira Jr.,4.8,28256,0,false,Foreign Language
B07DC3WRKT,The Mamba Mentality: How I Play,Kobe Bryant,4.8,27808,19.99,false,Biographies & Memoirs
B01N7TW187,Chakra Healing: A Beginner's Guide to Self-Healing Techniques that Balance the Chakras,Margarita Alcantara,4.8,27152,7.99,false,Religion & Spirituality
B00BMKDTNC,A Memory of Light: Book Fourteen of The Wheel of Time,Robert Jordan,4.8,26518,9.99,false,Teen & Young Adult
